especie,tipo,localizacao,data_hora,condicoes,observador
Handroanthus chrysotrichus,Plantae,not informed,2025-01-28T09:18:09,"{'latitude': -27.529663, 'longitude': 152.809203}",ccofficers
Handroanthus chrysotrichus,Plantae,not informed,2025-02-14T17:44:40,"{'latitude': -22.941128, 'longitude': -46.54512}",flowrlady
Handroanthus chrysotrichus,Plantae,not informed,2025-02-23T12:14:07,"{'latitude': 28.807696, 'longitude': -81.360098}",shandelw
Handroanthus chrysotrichus,Plantae,not informed,2025-02-15T17:43:13,"{'latitude': 28.632548, 'longitude': -81.197188}",abigail0509
Handroanthus chrysotrichus,Plantae,not informed,2025-02-18T15:23:31,"{'latitude': -27.490637, 'longitude': 152.944656}",Maria Miller
Handroanthus chrysotrichus,Plantae,Jardim Botânico Franz Damm.,2025-02-22,"{'latitude': -26.803333, 'longitude': -49.281944}",S.B. Oliveira
Handroanthus chrysotrichus,Plantae,not informed,2025-03-16T12:26,"{'latitude': 22.319304, 'longitude': 114.169361}",vivi1874
Handroanthus chrysotrichus,Plantae,not informed,2025-03-02T10:38:25,"{'latitude': -27.485869, 'longitude': 152.951373}",Maria Miller
Handroanthus chrysotrichus,Plantae,not informed,2025-04-02T14:36:24,"{'latitude': None, 'longitude': None}",brittsisson
Handroanthus chrysotrichus,Plantae,not informed,2025-04-06T11:23:51,"{'latitude': 22.199584, 'longitude': 113.550985}",jimmy1209
Handroanthus chrysotrichus,Plantae,not informed,2025-04-25T22:00,"{'latitude': 22.122878, 'longitude': 113.566094}",ashleychao
Handroanthus chrysotrichus,Plantae,not informed,2025-04-26T17:36:06,"{'latitude': 22.200033, 'longitude': 113.551549}",liangzaihzh
Handroanthus chrysotrichus,Plantae,not informed,2025-04-26T14:25:47,"{'latitude': 22.187533, 'longitude': 113.551872}",jimmy1209
Handroanthus chrysotrichus,Plantae,not informed,2025-04-25T08:36:46,"{'latitude': -19.940462, 'longitude': -40.595547}",Ricardo da Silva Ribeiro
Handroanthus chrysotrichus,Plantae,not informed,2025-04-26T17:36:07,"{'latitude': 22.199821, 'longitude': 113.551212}",Henry
